t_air_is,windspeed_is,tp_is,ghi_is,e_is,ghi_r,t_air_r,e_r,tp_r,windspeed_r
18.88888889,1.1176,0,0,0,0,16.448792,0.000687112,0.001938548,0.652905
18.33333333,0.67056,0,0,0,0,15.870453,0.000611937,4.66E-07,0.41995817
18.33333333,0.44704,0,0,0,0,15.971252,-0.000472704,4.66E-07,0.3335671
18.88888889,0.22352,0,0,0,0,15.485443,0.001911365,0.000484753,0.41002476
18.33333333,0.44704,0,0,0,0,15.304047,-0.002019107,0.00516884,0.5093635
18.05555556,0.22352,0,0,0,0,15.25647,0.000397151,0.15021302,0.637905
18.33333333,0,0,0,0,0,14.967926,-0.00181506,0.2708677,0.6171977
18.33333333,0,0,0,0,0,14.766541,-0.006626127,0.74718755,0.6058215
17.77777778,0.67056,0,0,0,0,14.7256775,-0.00293192,0.64753044,1.2876745
18.33333333,0.44704,0,2.5,0,0,14.897339,-0.002083543,0.39103812,0.7104397
19.44444444,0.22352,0,89,0,16.90302,15.352264,-0.014390418,0.4201117,0.34081703
21.94444444,0.44704,0,279.5,0,93.22139,16.60608,-0.059741084,0.102565154,0.27787712
21.94444444,0.89408,0,380,0.254,256.55737,18.158844,-0.2045883,0.061054714,0.7772739
23.61111111,0.89408,0,438.5,0.254,404.83347,18.654205,-0.32342574,0.12533925,1.6242615
24.16666667,0.89408,0,429,0.254,506.881,18.18274,-0.39552715,0.51589215,2.2055416
24.44444444,1.78816,0,512,0.254,538.09467,20.64151,-0.3858084,2.8934534,2.5287254
23.88888889,1.34112,0,321.5,0.254,331.1075,21.687836,-0.29611653,1.8978496,1.8281025
21.66666667,1.34112,0.508,155,0,398.6297,21.226166,-0.3342184,2.712229,1.2396848
20.55555556,0.67056,6.604,103,0,342.09146,19.244293,-0.30839118,0.38199311,1.0286998
20.55555556,1.1176,0,120,0,318.02563,18.407196,-0.27962148,0.066223085,1.3403091
20,1.56464,0,49,0,225.89816,19.095245,-0.18695492,0.2694144,1.1505802
19.16666667,1.56464,0.508,3.5,0,100.74385,19.121552,-0.09039009,0.20787539,1.162201
18.88888889,2.01168,10.668,0,0,22.102812,18.467377,-0.022004329,0.029558316,1.0121976
18.88888889,1.78816,6.35,0,0,0,17.631348,-0.001159991,0.010983553,0.9001247
18.33333333,1.1176,2.54,0,0,0,16.925232,2.13E-05,0.00387663,0.40160728
18.33333333,1.1176,0.762,0,0,0,17.235931,0.000279018,0.010014512,0.54750615
18.88888889,0.44704,0,0,0,0,16.997375,0.000375672,0.005653594,0.17159666
18.61111111,0,0,0,0,0,16.448792,0.000364933,0.005653594,0.42093754
18.33333333,0.67056,0,0,0,0,16.091614,0.000128668,4.66E-07,0.2454405
18.33333333,0.67056,0,0,0,0,15.894775,0.005895505,0.010499265,0.64691436
18.33333333,0.89408,0,0,0,0,15.294922,0.005820329,0.000969507,0.6677173
18.05555556,0,0,0,0,0,15.38205,0.002512737,0.014860183,0.6267853
18.05555556,0.22352,0,0,0,0,15.74704,0.000644155,0.018575229,0.74527514
18.33333333,0.67056,0,0.5,0,0,15.105896,0.003189285,0.011468306,1.0873358
19.16666667,0.44704,0,74,0,23.64625,15.7187805,-0.006980524,0.001453795,0.5226974
22.22222222,0.44704,0,283,0,168.296,17.326294,-0.10228887,0.1773485,0.42307907
24.44444444,0.89408,0,530,0.254,370.30814,19.417877,-0.2814471,0.17928658,1.0852021
25.83333333,1.34112,0,733,0.508,532.9848,21.221375,-0.3782267,0.4596836,1.8458767
25.55555556,2.01168,0,666.5,0.508,501.75613,21.32434,-0.36227933,2.352203,1.9157939
22.5,2.2352,2.54,276.5,0.254,490.20273,21.28482,-0.35148668,2.3016477,2.2398875
20,1.78816,9.652,147,0,495.68723,21.850555,-0.40097186,2.5873747,1.7757785
21.38888889,0.89408,0.254,427,0.254,546.7859,22.018066,-0.4282703,3.5724797,2.1692052
21.11111111,1.1176,0,221,0.254,414.46878,20.592834,-0.31102222,2.8981376,1.8318028
19.44444444,1.1176,2.032,52.5,0,244.8841,19.641449,-0.19491248,3.155276,1.4274616
19.16666667,0.89408,2.54,47.5,0,189.73949,17.651337,-0.1683228,1.2655026,0.57958037
18.88888889,0.89408,11.43,6,0,85.72892,17.059296,-0.08522466,0.6580292,1.1593685
18.33333333,1.1176,5.588,0,0,17.757187,16.405548,-0.039873995,0.23840275,0.61620176
17.77777778,0.22352,5.08,0,0,0,16.371674,-0.029253133,0.11726329,0.86300415
18.33333333,0.67056,1.778,0,0,0,16.43097,-0.01705368,0.007107388,0.76708657
18.33333333,0.44704,0.762,0,0,0,17.741943,-0.014100457,0.002423301,0.58746517
17.77777778,0.22352,0.254,0,0,0,17.355194,0.000536762,0.041026156,0.42131105
18.05555556,0.44704,0,0,0,0,16.862885,-0.001428474,0.046194997,0.69879615
18.33333333,0.22352,0,0,0,0,16.716888,-0.003597728,0.012437347,1.1302186
18.05555556,0.44704,0,0,0,0,16.359924,-0.003629946,0.002907589,0.7927199
18.05555556,1.1176,0,0,0,0,16.152008,-0.004166912,0.040057115,0.44259086
17.77777778,0.44704,0,0,0,0,15.768555,-0.006196584,0.21740514,0.76146495
18.05555556,0.89408,0,0,0,0,15.739868,-0.003812515,0.20593731,1.2681209
18.33333333,0.89408,0,0.5,0,0,15.654907,-0.006110669,0.2889582,1.4716768
18.33333333,0.67056,0,22.5,0,17.682257,16.115509,-0.016398583,0.06525405,1.2513183
18.88888889,0.22352,0,71.5,0,122.831665,16.658875,-0.08330238,0.010014512,1.346812
19.16666667,0.44704,0,134.5,0,248.10585,18.37677,-0.18932822,0.17831755,0.6091831
20.55555556,0.44704,0,215.5,0,414.4838,19.46286,-0.30725285,0.26085368,0.2743039
20.83333333,0.67056,0,258.5,0.254,350.66284,18.75653,-0.27100882,2.0685754,0.22844005
21.94444444,1.34112,0,379.5,0.254,299.2195,20.070984,-0.25370833,2.4728577,0.3591311
23.61111111,1.1176,0,432,0.254,256.57236,20.317139,-0.22067529,1.6208445,0.53787
24.44444444,1.1176,0,435,0.254,351.24728,20.71994,-0.27749515,0.54270446,0.66485655
24.16666667,1.56464,0,319.5,0.254,272.62125,20.630188,-0.21244924,1.0991375,0.6164488
20.83333333,2.01168,8.636,116.5,0.254,221.5675,20.074463,-0.16481115,0.9765448,0.82070607
20,0.67056,2.54,62,0,117.67684,19.624512,-0.097510025,0.317547,0.42494532
19.72222222,0.89408,1.016,7,0,93.47614,18.92688,-0.07131769,0.61328846,0.59931475
19.44444444,0.22352,1.778,0,0,16.753195,17.690216,-0.020726409,0.54738855,0.64656097
19.44444444,0.67056,3.302,0,0,0,17.319153,-0.002749352,0.1773485,1.0936896
19.44444444,0,0.762,0,0,0,17.10556,-0.000268657,0.07720664,1.2553414
18.88888889,0.44704,0,0,0,0,17.071014,-6.46E-05,0.03860332,1.2282054
18.88888889,0.22352,0,0,0,0,16.94284,-0.000837812,0.12727734,1.09709
18.61111111,0,0,0,0,0,16.339935,0.001170352,0.18881634,1.1382991
18.61111111,0.44704,0,0,0,0,16.51767,-0.001739885,0.32287696,1.2561151
18.61111111,0,0,0,0,0,16.228485,-0.012403703,0.041026156,1.2180349
18.33333333,0.22352,0.254,0,0,0,15.671204,-0.004166912,0.032465905,1.028322
18.33333333,0.89408,0,0,0,0,15.465454,-0.003071531,0.033434946,0.9670619
18.61111111,0.44704,0,0,0,0,14.849518,0.000107189,0.4701824,1.2188355
18.05555556,0.44704,0,1,0,0,14.431305,-0.003447407,0.11161016,0.8952183
18.61111111,0.22352,0,47.5,0,21.848055,14.786102,-0.018685998,0.07155351,0.8296986
20,0,0,137.5,0,144.00539,16.154388,-0.09996925,0.07720664,0.7752208
21.38888889,0.22352,0,245,0,251.17778,18.592499,-0.2016136,0.04247995,0.3962128
23.88888889,0.67056,0,487.5,0.254,347.23132,19.831116,-0.2766468,0.011952594,0.11855252
24.16666667,1.1176,0,543,0.254,389.4589,20.704285,-0.29000604,0.019059516,0.6864439
23.05555556,1.56464,0,342,0.254,406.28702,20.95111,-0.30341905,0.12356229,0.82635397
21.66666667,0.89408,0.508,313,0.254,479.54843,21.552032,-0.35104635,1.1133515,0.73264736
21.11111111,1.78816,0,305,0.254,369.31912,20.28366,-0.29545075,0.36955625,0.89913785
